"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Ferrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7_ColGen_25.cmpl"
"gap","0,5; 1,2; 1,9; 1,9"
"low","45416,00000; 46136,00000; 45932,00000; 45741,00000"
"mem","822,2; 533,0; 589,0; 629,7"
"time","435,9; 373,5; 388,7; 398,6"
"sol","45635; 46682; 46842; 46640"
