"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_05_\inst_100_05_12\inst_100_50_100_50_75_25_45_05_12 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_05_\inst_100_05_12\inst_100_50_100_50_75_25_45_05_12 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_05_\inst_100_05_12\inst_100_50_100_50_75_25_45_05_12.cmpl"
"gap","0,0; 0,5; 0,9"
"low","43172; 50202,00000; 52252,00000"
"mem","836,3; 739,7; 704,3"
"time","321,5; 415,0; 414,6"
"sol","43172; 50475; 52700"
