"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_25.cmpl"
"gap","1,3; 1,1; 1,1; 1,0"
"low","52248,00000; 53605,00000; 52991,00000; 52886,00000"
"mem","704,3; 509,7; 614,9; 612,4"
"time","435,2; 373,5; 386,2; 405,0"
"sol","52925; 54187; 53569; 53419"
