"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_15.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_20.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen25Strade\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7_3\inst_100_50_100_50_75_25_45_05_7_3_ColGen_25.cmpl"
"gap","0,8; 1,2; 0,8; 0,7"
"low","50189,00000; 50486,00000; 50385,00000; 50228,00000"
"mem","741,2; 493,3; 630,8; 640,7"
"time","437,6; 375,0; 391,2; 408,9"
"sol","50584; 51075; 50776; 50605"
