"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen20Misto\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen_20.cmpl"
"gap","1,3; 1,0"
"low","52248,00000; 53699,00000"
"mem","704,3; 436,2"
"time","429,1; 359,7"
"sol","52925; 54241"
