"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_4\inst_50_50_100_50_75_25_45_05_4.cmpl"
"gap","0,0; 0,0; 0,0"
"low","12197; 16902; 13620"
"mem","90,3; 97,8; 120,6"
"time","4,9; 9,0; 65,7"
"sol","12197; 16902; 13620"
