"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_6\inst_50_50_100_50_75_25_45_05_6 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_6\inst_50_50_100_50_75_25_45_05_6 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_05_\inst_50_05_6\inst_50_50_100_50_75_25_45_05_6.cmpl"
"gap","0,0; 0,0; 0,0"
"low","12188; 16873; 13571"
"mem","90,3; 104,4; 105,6"
"time","5,0; 11,6; 29,4"
"sol","12188; 16873; 13571"
