"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_01_\inst_50_01_2\inst_50_50_100_50_75_25_45_01_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_01_\inst_50_01_2\inst_50_50_100_50_75_25_45_01_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst2_50_50_100_50_75_25_45_01_\inst_50_01_2\inst_50_50_100_50_75_25_45_01_2.cmpl"
"gap","0,0; 0,0; 0,0"
"low","16457; 20871; 17459"
"mem","88,2; 91,5; 93,6"
"time","6,1; 7,7; 21,4"
"sol","16457; 20871; 17459"
