"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_1.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_10.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_3.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_4.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_5.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_6.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_8.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGenFerrovie\inst3_100_50_100_50_75_25_45_09_\inst_100_09_2\inst_100_50_100_50_75_25_45_09_2_ColGen_9.cmpl"
"gap","4,1; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0"
"low","48846,00000; 51423; 51187; 49733; 51187; 51087; 50345; 50164; 49921; 49736; 49733; 49733"
"mem","883,9; 314,2; 323,4; 504,6; 383,1; 375,7; 373,4; 414,2; 394,6; 515,8; 467,3; 440,8"
"time","416,4; 68,7; 65,1; 178,6; 103,6; 84,8; 97,1; 102,0; 95,1; 210,8; 141,8; 139,5"
"sol","50915; 51423; 51187; 49733; 51187; 51087; 50345; 50164; 49921; 49736; 49733; 49733"
