"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7 (3)_ColGen.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewColGen\inst3_100_50_100_50_75_25_45_05_\inst_100_05_7\inst_100_50_100_50_75_25_45_05_7_ColGen.cmpl"
"gap","0,8; 2,3; 0,9; 0,8"
"low","50191,00000; 51788,00000; 52252,00000; 54642,00000"
"mem","741,2; 389,0; 704,3; 331,5"
"time","422,9; 333,8; 419,6; 331,7"
"sol","50584; 53026; 52700; 55100"
