"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2.cmpl"
"gap","0,0; 0,0; 0,0"
"low","46370; 53464; 62984"
"mem","760,4; 845,0; 804,8"
"time","128,5; 183,3; 85,4"
"sol","46370; 53464; 62984"
