"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2_2.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewLAGRANGE\inst3_100_50_100_50_75_25_45_05_\inst_100_05_2\inst_100_50_100_50_75_25_45_05_2_3.cmpl"
"gap","0,0; 0,0; 0,0"
"low","59618,5; 49757,5; 56913,5"
"mem","804,8; 804,8; 804,8"
"time","107,2; 119,4; 109,7"
"sol","59618,5; 49757,5; 56913,5"
