"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_7\inst_100_50_100_50_75_25_45_01_7.cmpl"
"gap","2,1; 1,3; 3,1"
"low","51078,00000; 54804,00000; 50936,00000"
"mem","700,6; 722,9; 725,7"
"time","404,6; 403,7; 404,1"
"sol","52167; 55534; 52563"
