"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12\inst_100_50_100_50_75_25_45_01_12 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12\inst_100_50_100_50_75_25_45_01_12 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_12\inst_100_50_100_50_75_25_45_01_12.cmpl"
"gap","2,1; 0,8; 4,1"
"low","51077,00000; 54857,00000; 50910,00000"
"mem","700,4; 744,5; 684,6"
"time","405,5; 407,9; 404,4"
"sol","52167; 55322; 53101"
