"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1New\inst3_100_50_100_50_75_25_45_01_\inst_100_01_2\inst_100_50_100_50_75_25_45_01_2.cmpl"
"gap","6,2; 0,0; 1,8"
"low","59680,00000; 64824; 59180,00000"
"mem","889,3; 747,2; 909,3"
"time","401,0; 232,9; 395,0"
"sol","63644; 64824; 60244"
