"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_12.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_122.cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_12\inst_100_50_100_50_75_25_45_09_123.cmpl"
"gap","1,2; 0,0; 0,0"
"low","45362,00000; 50484; 46979"
"mem","1090,5; 1257,9; 1255,7"
"time","556,7; 501,3; 500,0"
"sol","45900; 50484; 46979"
