"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_7\inst_100_50_100_50_75_25_45_09_7.cmpl"
"gap","0,0; 0,0; 1,2"
"low","50484; 46979; 45362,00000"
"mem","1257,9; 1255,7; 1091,2"
"time","532,1; 520,0; 540,1"
"sol","50484; 46979; 45919"
