"Name","Value"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\datidacompletare\inst3_100_50_100_50_75_25_45_09_\inst_100_09_25\inst_100_50_100_50_75_25_45_09_25.cmpl"
"gap","0,0; 0,0; 1,2"
"low","50484; 46979; 45362,00000"
"mem","1257,9; 1255,7; 1090,5"
"time","506,7; 498,5; 547,4"
"sol","50484; 46979; 45900"
