"Name","Value"
"low","12188,00000000; 16873,00000000; 13571,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_13\inst_50_50_100_50_75_25_45_05_13 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_13\inst_50_50_100_50_75_25_45_05_13 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_13\inst_50_50_100_50_75_25_45_05_13.cmpl"
"time","24,22; 27,95; 29,36"
"sol","12188,00000000; 16873,00000000; 13571,00000000"
