"Name","Value"
"low","12941,00000000; 18124,00000000; 15140,00000000"
"instance","D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_2\inst_50_50_100_50_75_25_45_05_2 (2).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_2\inst_50_50_100_50_75_25_45_05_2 (3).cmpl; D:\Lavoro\GitHub\MDMM\dati\datibuoni\dati1NewCbc\inst2_50_50_100_50_75_25_45_05_\inst_50_05_2\inst_50_50_100_50_75_25_45_05_2.cmpl"
"time","29,66; 25,81; 30,38"
"sol","12941,00000000; 18124,00000000; 15140,00000000"
